id,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev
1,206,80.0,0.3125,0.625,0.0625,9.3282,9.3279,9.3277,90.0047,90.0045,89.995,0.1337,2.6562
2,206,80.0,1.0,0.0,0.0,8.9847,8.9839,8.9843,90.0024,90.0036,89.9994,0.0738,5.2114
3,227,40.0,0.8125,0.0,0.1875,5.8341,5.8343,14.3401,89.9999,89.998,120.0005,0.3671,1.8353
4,12,20.0,0.25,0.625,0.125,12.3144,3.084,5.9539,89.9999,104.1046,90.0001,0.0698,2.3056
5,33,80.0,0.0,0.1875,0.8125,11.1457,9.4822,10.1054,89.9994,89.9967,90.0,0.1154,0.9503
6,227,40.0,0.0625,0.625,0.3125,10.4498,6.0554,14.9233,91.069,91.2431,30.3593,0.3048,0.6708
7,206,80.0,0.0,0.0625,0.9375,10.2349,10.2349,10.2352,90.0007,90.0006,89.999,0.0219,0.9466
8,227,40.0,0.875,0.125,0.0,9.7274,5.645,13.9226,90.9296,91.0771,30.5047,0.2586,2.1454
9,167,30.0,0.3333,0.4167,0.25,5.1068,5.1064,13.7396,89.9955,90.0052,120.0008,0.2019,2.4714
10,167,30.0,0.8333,0.1667,0.0,4.8534,4.8532,13.2099,89.9864,90.0145,120.0016,0.0257,4.8753
11,227,40.0,0.25,0.4375,0.3125,10.0078,5.8906,14.7054,96.8288,98.047,31.8421,0.2022,1.7178
12,167,30.0,0.5833,0.0,0.4167,5.1313,5.131,13.8018,89.9916,90.0086,120.0016,0.3493,2.4419
13,33,80.0,0.5938,0.1562,0.25,10.2442,8.7735,9.4015,90.0033,90.0014,90.0009,0.224,2.4076
14,33,80.0,0.3125,0.0625,0.625,10.7916,9.2003,9.827,90.0019,89.9989,90.0004,0.2993,1.346
15,206,80.0,0.9375,0.0625,0.0,9.0109,9.0101,9.0104,90.0026,90.0037,89.999,0.0802,4.8223
16,167,30.0,0.0833,0.25,0.6667,5.3847,5.3842,14.3315,89.9982,90.0005,120.0009,0.1993,1.2931
17,33,80.0,0.125,0.0625,0.8125,11.0873,9.4324,10.0577,90.0006,89.9971,90.0003,0.2408,0.8991
18,227,40.0,0.75,0.0,0.25,10.0948,5.8455,14.3871,90.7964,90.9226,30.291,0.4536,1.6914
19,194,80.0,0.625,0.375,0.0,6.184,6.1838,23.6287,90.0186,89.998,120.0025,0.1769,3.0613
20,206,80.0,0.8125,0.1875,0.0,9.0633,9.0626,9.0628,90.0032,90.004,89.9981,0.0895,4.3583
21,12,80.0,0.4062,0.0,0.5938,24.3427,6.3858,6.4035,89.9998,105.3761,90.0001,0.3263,1.0454
22,206,80.0,0.5938,0.2188,0.1875,9.3211,9.3207,9.3208,90.0027,90.0033,89.9978,0.2086,2.8409
23,12,20.0,0.375,0.5,0.125,12.2494,3.0662,5.9283,89.9997,104.1484,90.0001,0.0614,2.4501
24,206,80.0,0.0,0.5,0.5,9.847,9.847,9.8468,90.0031,90.0027,89.996,0.1293,1.3098
25,12,80.0,0.4062,0.0,0.5938,24.3427,6.3858,6.4035,89.9998,105.3761,90.0001,0.1408,1.8406
26,206,80.0,0.0,0.3125,0.6875,10.0132,10.0133,10.0133,90.002,90.0018,89.9973,0.0998,1.0412
27,227,40.0,0.4375,0.25,0.3125,10.2905,5.961,14.6799,90.9458,91.0978,30.3261,0.3853,1.4513
28,33,80.0,0.625,0.0625,0.3125,10.2989,8.8135,9.4426,90.0039,90.0012,90.0008,0.1956,2.5015
29,167,30.0,0.8333,0.0833,0.0833,4.8966,4.8964,13.3033,89.9868,90.0141,120.0017,0.0892,4.2214
30,206,80.0,0.3125,0.0938,0.5938,9.7992,9.7989,9.7992,90.0013,90.0016,89.9986,0.2076,1.5657
31,167,30.0,0.5,0.5,0.0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,0.0654,3.7026
32,194,80.0,0.3438,0.3438,0.3125,6.5029,6.5027,24.2419,90.0121,90.0051,119.9939,0.3176,1.4332
33,33,40.0,0.875,0.0,0.125,4.987,8.5565,9.1881,90.0055,90.0021,90.001,0.134,3.6836
34,194,80.0,0.5938,0.4062,0.0,6.1935,6.1934,23.6522,90.0189,89.998,120.0021,0.2173,2.9427
35,206,80.0,0.5,0.1562,0.3438,9.4989,9.4986,9.4987,90.002,90.0026,89.9982,0.2373,2.3311
36,206,80.0,0.0938,0.0,0.9062,10.1679,10.1679,10.1682,90.0005,90.0006,89.9993,0.0814,0.9774
37,194,80.0,0.4062,0.3125,0.2812,6.46,6.4598,24.1547,90.0135,90.0059,119.9951,0.3486,1.1358
38,167,30.0,0.5833,0.4167,0.0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,0.056,3.9627
39,206,80.0,0.3125,0.6875,0.0,9.2727,9.2725,9.2722,90.0052,90.0048,89.9946,0.0875,2.9651
40,33,80.0,0.4688,0.0312,0.5,10.5799,9.0331,9.6613,90.003,90.0,90.0005,0.352,1.6429
41,206,80.0,0.4375,0.3438,0.2188,9.4143,9.414,9.414,90.0031,90.0034,89.9969,0.2003,2.3768
42,194,80.0,0.3125,0.6875,0.0,6.282,6.282,23.8637,90.0145,90.0009,119.9984,0.132,2.5282
43,227,40.0,0.4375,0.25,0.3125,10.2905,5.961,14.6799,90.9458,91.0978,30.3261,0.4238,0.8458
44,206,80.0,0.2188,0.0625,0.7188,9.9493,9.9491,9.9494,90.0009,90.0012,89.9989,0.1625,1.201
45,194,80.0,0.625,0.375,0.0,6.184,6.1838,23.6287,90.0186,89.998,120.0025,0.249,2.921
46,206,80.0,0.4062,0.0,0.5938,9.7599,9.7596,9.7599,90.0009,90.0015,89.9993,0.24,1.4355
47,194,80.0,0.875,0.0938,0.0312,6.1329,6.1325,23.4812,90.0105,90.0024,120.0048,0.2143,3.6242
48,206,80.0,0.3438,0.4688,0.1875,9.4259,9.4256,9.4255,90.0037,90.0037,89.9961,0.1793,2.3806
49,194,80.0,0.0625,0.4375,0.5,6.7327,6.7323,24.695,90.0025,89.998,119.9887,0.311,0.7527
50,227,40.0,0.375,0.5,0.125,9.8205,5.7631,14.5164,96.9566,98.1763,31.5663,0.1339,2.0357
51,194,80.0,0.25,0.3125,0.4375,6.6253,6.625,24.4733,90.0104,90.0033,119.9913,0.4535,0.678
52,206,80.0,0.9062,0.0938,0.0,9.024,9.0232,9.0235,90.0028,90.0038,89.9987,0.0836,4.6705
53,194,80.0,0.1875,0.1562,0.6562,6.8071,6.8066,24.802,90.0136,89.9984,119.9883,0.3255,0.5212
54,167,30.0,0.1667,0.8333,0.0,5.0185,5.018,13.5425,89.9979,90.0034,120.0001,0.0741,2.8168
55,206,80.0,0.0,0.4688,0.5312,9.8747,9.8747,9.8746,90.0029,90.0025,89.9962,0.1285,1.2138
56,194,80.0,0.4688,0.25,0.2812,6.4405,6.4402,24.1077,90.0144,90.0071,119.9957,0.4343,1.1538
57,33,80.0,0.4062,0.2812,0.3125,10.4011,8.9007,9.5261,90.0017,90.0008,90.0007,0.2022,2.1454
58,227,40.0,0.5625,0.4375,0.0,9.9227,5.7451,14.1486,90.6851,90.7953,30.2809,0.2402,1.3953
59,12,20.0,0.125,0.75,0.125,12.3794,3.1017,5.9795,90.0,104.0611,90.0001,0.0468,2.0493
60,167,30.0,0.6667,0.3333,0.0,4.8947,4.8944,13.293,89.9894,90.0117,120.0012,0.0554,4.1001
61,206,80.0,0.0625,0.0938,0.8438,10.1256,10.1256,10.1258,90.0009,90.0009,89.9987,0.0783,1.0476
62,167,30.0,0.0833,0.75,0.1667,5.1255,5.125,13.7709,89.9993,90.0015,120.0002,0.1289,2.1762
63,167,60.0,0.5,0.5,0.0,9.8719,4.9356,13.3762,89.9923,90.0089,120.0009,0.0467,3.7781
64,206,80.0,0.375,0.1875,0.4375,9.6344,9.6342,9.6343,90.0019,90.0023,89.998,0.2261,1.833
65,227,40.0,0.3125,0.0625,0.625,10.6795,6.1454,15.2683,98.2599,97.1958,30.3191,0.3187,0.6802
66,227,40.0,0.5625,0.125,0.3125,10.1815,5.8976,14.3001,84.1312,83.1775,30.8272,0.3742,1.1132
67,227,40.0,0.5,0.4375,0.0625,10.1177,5.8283,14.2074,91.3094,91.4994,29.777,0.2199,1.4614
68,12,80.0,0.1562,0.1562,0.6875,24.5778,6.5094,6.5508,90.0001,105.5161,90.0,0.2998,1.0097
69,167,30.0,0.3333,0.4167,0.25,5.1068,5.1064,13.7396,89.9955,90.0052,120.0008,0.2242,2.3895
70,194,80.0,0.2812,0.4375,0.2812,6.4998,6.4996,24.2488,90.01,90.0041,119.9937,0.3512,1.0602
71,206,80.0,0.125,0.1562,0.7188,9.9886,9.9885,9.9886,90.0013,90.0014,89.9983,0.1314,1.1484
72,12,20.0,0.5,0.5,0.0,12.201,3.0134,5.7748,89.9995,103.8357,90.0002,0.0193,2.8842
73,33,80.0,0.3438,0.1875,0.4688,10.6037,9.0567,9.6825,90.0017,89.9999,90.0005,0.2484,1.5396
74,33,80.0,0.0,0.25,0.75,11.0764,9.4298,10.0524,89.9992,89.9972,90.0,0.1077,1.0129
75,33,80.0,0.7188,0.2188,0.0625,9.9778,8.5663,9.1947,90.0038,90.0022,90.0013,0.1147,3.4166
76,206,80.0,0.0,0.2812,0.7188,10.041,10.041,10.041,90.0018,90.0016,89.9975,0.0896,1.0659
77,227,40.0,0.625,0.1875,0.1875,9.8219,5.7031,14.0841,91.085,91.2584,30.5595,0.2972,1.6776
78,167,30.0,0.4167,0.1667,0.4167,5.1726,5.1722,13.8849,89.9941,90.006,120.0012,0.2448,2.2389
79,227,40.0,0.125,0.5625,0.3125,6.1219,6.1194,15.0176,90.0324,88.1752,120.0119,0.3697,1.1659
80,12,80.0,0.0,0.5625,0.4375,24.8062,6.4139,6.3254,90.0002,104.8531,90.0001,0.0334,1.3415
81,33,40.0,0.875,0.0,0.125,4.987,8.5565,9.1881,90.0055,90.0021,90.001,0.1668,3.4881
82,227,40.0,0.5625,0.25,0.1875,10.145,5.8396,14.402,94.6552,94.0746,30.1993,0.3376,1.7567
83,206,80.0,0.875,0.0938,0.0312,9.0648,9.0641,9.0643,90.0027,90.0037,89.9987,0.1135,4.2107
84,167,30.0,0.3333,0.6667,0.0,4.9772,4.9768,13.4593,89.9952,90.0061,120.0005,0.0647,3.2712
85,167,30.0,0.75,0.25,0.0,4.8741,4.8738,13.2515,89.9879,90.0131,120.0014,0.0459,4.3868
86,227,40.0,0.5,0.25,0.25,10.2359,5.8895,14.5509,95.3405,94.6471,30.2148,0.1984,2.1189
87,227,40.0,0.0625,0.625,0.3125,10.4654,6.0606,14.7182,88.075,87.7806,30.3034,0.2456,0.6786
88,227,40.0,0.0,0.3125,0.6875,10.8693,6.2713,14.9701,84.4314,83.5345,30.9886,0.2783,0.6045
89,206,80.0,0.0,0.4062,0.5938,9.9301,9.9301,9.9301,90.0025,90.0022,89.9966,0.117,1.202
90,33,80.0,0.6562,0.0312,0.3125,10.2843,8.801,9.4307,90.0042,90.0012,90.0008,0.2559,2.357
91,206,80.0,0.2812,0.7188,0.0,9.2858,9.2856,9.2853,90.0053,90.0049,89.9943,0.0847,2.8949
92,12,80.0,0.3125,0.5,0.1875,24.5473,6.1851,6.0052,89.9998,104.2998,90.0001,0.1387,2.069
93,227,40.0,0.3125,0.5625,0.125,10.1815,5.8945,14.2734,89.6036,89.5463,30.2731,0.176,1.7828
